MEDV,RM,CRIM
20.4,5.872,0.13058
20.4,6.041,0.35114
20.5,5.961,0.09299
20.5,6.115,0.04337
20.5,6.226,0.19657
20.6,5.936,0.10659
20.6,5.905,4.83567
20.6,5.871,2.37857
20.6,6.059,0.03306
20.6,6.12,0.04527
20.6,6.249,0.04294
20.7,6.31,0.03738
20.7,5.92,0.09065
20.8,5.648,12.0482
20.8,5.362,3.67822
20.8,6.14,0.08707
20.9,5.876,0.03548
20.9,5.885,0.12816
21.0,5.85,0.08014
21.0,6.113,0.47547
21.0,6.674,1.00245
21.1,5.856,0.29916
21.1,6.037,0.03961
21.2,6.069,0.12269
21.2,6.176,0.13158
21.2,6.312,3.67367
21.2,6.019,0.23912
21.2,6.232,0.05646
21.4,6.163,0.11504
21.4,6.286,0.09512
21.4,6.229,14.3337
21.4,6.209,7.83932
21.4,5.986,0.16902
21.5,6.122,1.6566
21.5,5.951,0.11069
21.6,6.421,0.02731
21.6,6.266,0.26938
21.7,6.009,0.08199
21.7,5.889,0.09378
21.7,5.961,0.15876
21.7,6.195,0.10793
21.7,5.96,0.17446
21.7,6.395,3.8497
21.7,6.164,0.40771
21.8,5.707,0.17331
21.8,5.762,2.81838
21.9,6.108,0.04819
21.9,8.78,3.47428
21.9,4.963,3.69695
22.0,5.878,0.05789
22.0,6.405,0.03932
22.0,6.897,0.11329
22.0,5.87,0.06899
22.0,6.59,0.03537
22.0,6.453,0.01096
22.0,6.794,0.10959
22.1,6.122,0.79041
22.2,6.316,0.05083
22.2,6.358,0.1029
22.2,6.083,0.24103
22.2,6.456,0.11027
22.2,6.121,0.07151
22.3,6.402,2.44953
22.3,6.315,0.0459
22.4,5.807,0.21719
22.4,6.593,0.06263
22.5,6.015,0.05188
22.5,5.783,0.25199
22.5,6.345,0.06466
22.6,6.112,4.26131
22.6,6.333,0.06724
22.6,5.859,0.08447
22.6,6.417,0.04684
22.6,5.891,0.13642
22.7,5.854,2.24236
22.7,6.127,5.20177
22.8,6.715,0.10084
22.8,5.56,0.76162
22.8,6.635,0.49298
22.8,6.065,0.09164
22.9,6.442,0.04203
22.9,6.167,0.03551
22.9,6.49,0.06211
22.9,6.012,0.08829
23.0,6.372,0.59005
23.0,6.242,5.82401
23.0,6.373,0.11425
23.0,6.312,0.30347
23.1,6.516,0.0187
23.1,5.572,0.13914
23.1,6.382,0.40202
23.1,6.376,0.18159
23.1,3.863,13.5222
23.1,5.67,0.17899
23.1,5.935,1.05393
23.2,6.051,5.29305
23.2,6.437,3.56868
23.2,6.209,0.03871
23.2,6.02,0.07022
23.3,6.145,0.15445
23.3,6.51,1.42502
23.3,6.606,0.09252
23.3,5.888,0.0456
23.4,5.998,0.04981
23.4,6.245,0.19539
23.5,6.29,0.03584
23.6,7.007,0.0566
23.6,6.416,0.09178
23.7,5.412,0.28955
23.7,6.393,0.12757
23.7,6.481,0.08244
23.7,6.75,5.70818
23.8,6.426,0.1676
23.8,6.567,0.3692
23.8,6.319,2.3004
23.8,5.877,1.80028
23.9,6.619,0.04462
23.9,6.696,0.02543
23.9,6.389,0.05059
23.9,6.976,0.06076
23.9,6.127,0.08265
24.0,6.575,0.00632
24.0,6.086,0.33045
24.1,6.579,0.0795
24.1,6.273,0.07896
24.1,6.162,0.03445
24.2,6.417,0.08826
24.3,5.981,0.537
24.3,6.108,0.33983
24.3,6.066,1.34284
24.4,6.326,0.22969
24.4,6.064,0.13587
24.4,6.487,0.1403
24.4,6.538,0.1146
24.5,5.926,0.27957
24.5,6.433,0.16439
24.5,6.635,0.01501
24.6,6.431,0.19186
24.6,6.315,0.05425
24.7,6.383,0.02055
24.7,5.966,0.17505
24.7,6.211,0.15936
24.8,6.565,0.04297
24.8,6.438,0.21409
24.8,6.302,0.03659
24.8,6.871,0.04417
25.0,6.211,0.02875
25.0,6.415,0.34109
25.0,6.398,4.54192
25.0,6.511,0.0536
25.0,6.762,0.1265
25.0,6.182,0.19802
25.0,6.101,2.924
25.0,7.061,5.73116
25.1,6.631,0.52058
25.2,6.24,0.16211
25.3,6.169,0.1415
26.2,6.718,0.19073
26.4,5.604,0.08308
26.4,6.495,0.09266
26.5,6.781,0.11432
26.6,6.63,0.05735
26.6,6.77,0.12744
26.6,6.939,0.02899
26.7,6.951,0.35809
27.0,6.25,1.27346
27.1,6.172,0.14455
27.1,6.549,0.05372
27.5,6.852,14.4383
27.5,6.727,0.14866
27.5,6.879,0.62356
27.5,3.561,4.55587
27.9,5.608,11.9511
27.9,6.63,0.03615
28.0,6.727,0.04113
28.1,6.375,0.14052
28.2,6.849,0.04932
28.4,6.616,0.05479
28.4,6.625,0.12204
28.5,6.861,0.03502
28.6,6.678,0.12932
28.7,7.079,0.05302
28.7,6.642,0.07013
28.7,6.43,0.02985
29.0,7.041,0.05561
29.0,6.726,0.44791
29.1,6.604,0.01439
29.1,6.482,0.07978
29.4,6.546,0.06664
29.6,6.153,0.06047
29.6,6.957,0.08221
29.8,6.98,4.64689
29.8,6.556,0.12579
29.9,6.86,0.06642
30.1,6.842,0.65665
30.1,6.618,0.6147
30.1,6.728,0.01709
30.3,7.107,0.04666
30.5,6.739,0.06911
30.7,7.014,0.7857
30.8,6.595,0.02763
31.0,7.327,0.82526
31.1,6.8,0.02187
31.2,6.874,0.03049
31.5,6.552,0.44178
31.5,7.358,0.51183
31.6,7.163,0.41238
31.6,6.816,0.01432
31.7,7.412,0.46296
32.0,6.854,0.09604
32.0,6.782,0.07875
32.2,7.088,0.00906
32.4,6.758,0.05644
32.5,6.563,0.10008
32.7,7.241,0.01301
32.9,7.135,0.01778
33.0,7.104,0.01951
33.1,6.826,0.06127
33.1,6.982,0.1
33.2,7.267,0.10469
33.2,7.416,0.0686
33.3,7.287,0.04011
33.4,7.42,0.07503
33.4,6.998,0.03237
33.8,7.203,0.54011
34.6,7.274,0.03768
34.7,7.185,0.02729
34.9,7.185,0.0837
34.9,7.024,0.03359
34.9,6.975,0.0315
35.1,6.812,0.21038
35.2,7.691,0.22188
35.4,7.249,0.01311
35.4,6.968,0.03705
36.0,7.333,0.66351
36.1,7.236,0.05515
36.2,7.147,0.06905
36.2,6.144,0.06888
36.4,7.178,0.08664
36.5,7.206,0.55007
37.0,6.951,0.09068
37.2,6.98,0.0578
37.3,7.148,0.07886
37.6,8.04,0.38214
37.9,7.155,0.09103
38.7,8.069,0.12083
39.8,7.765,0.06588
41.3,6.943,1.22358
41.7,8.337,0.57529
42.3,7.61,0.02177
42.8,8.259,0.36894
43.1,7.52,0.53412
43.5,7.47,0.5405
43.8,7.82,0.08187
44.0,7.454,0.01538
44.8,8.266,0.31533
45.4,7.82,0.03578
46.0,7.645,0.06129
46.7,7.686,0.29819
48.3,8.247,0.33147
48.5,7.853,0.0351
48.8,8.398,0.52014
50.0,8.297,0.57834
50.0,8.704,0.61154
50.0,6.683,5.66998
50.0,4.97,4.89822
50.0,7.016,6.53876
50.0,6.216,9.2323
50.0,5.875,8.26725
50.0,8.034,0.02009
50.0,7.489,1.46336
50.0,7.802,1.83377
50.0,8.375,1.51902
50.0,7.929,2.01019
50.0,7.875,0.01381
50.0,7.923,0.01501
50.0,8.725,0.52693
50.0,7.831,0.05602
